"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"LLOCHEGUA",41326368.64,31148237.91,15,7000,1
"CANAYRE",14328408.38,17838649.97,2,2000,0
"UCHURACCAY",5816994.75,7885364.78,0,500,0
"PUCACOLPA",12291455.14,10796361.27,0,1440,0
"CHACA",3214381.04,2572515,0,556,0
"SAN MIGUEL",39423151.84,37311573.92,1,2800,0
"ANCO",22402518.18,15553037.85,0,1000,0
"AYNA",12292036.95,11936011.54,0,5000,0
"CHILCAS",13778168.45,11839104.68,0,40,0
"CHUNGUI",22482800.99,23604230.94,0,200,0
"LUIS CARRANZA",2279221.69,3476594.67,0,120,0
"SANTA ROSA",27445175.06,26652563.82,11,5600,2
"TAMBO",28561876.26,19556132.61,10,5000,4
"SAMUGARI",17724530.2,13715906.96,5,4000,0
